iter	Passed	Remaining
1109	6385	2243
1110	6391	2237
1111	6396	2232
1112	6403	2226
1113	6408	2220
1114	6414	2214
1115	6421	2209
1116	6426	2203
1117	6432	2197
1118	6438	2192
1119	6443	2186
1120	6450	2180
1121	6455	2174
1122	6460	2168
1123	6466	2163
1124	6471	2157
1125	6476	2151
1126	6482	2145
1127	6487	2139
1128	6492	2133
1129	6498	2127
1130	6503	2121
1131	6508	2115
1132	6514	2110
1133	6521	2104
1134	6526	2098
1135	6532	2093
1136	6537	2087
1137	6542	2081
1138	6548	2075
1139	6553	2069
1140	6558	2063
1141	6564	2057
1142	6569	2051
1143	6574	2045
1144	6580	2040
1145	6585	2034
1146	6590	2028
1147	6596	2022
1148	6601	2016
1149	6607	2010
1150	6613	2005
1151	6618	1999
1152	6623	1993
1153	6629	1987
1154	6635	1982
1155	6642	1976
1156	6648	1970
1157	6653	1965
1158	6660	1959
1159	6666	1953
1160	6671	1947
1161	6677	1942
1162	6682	1936
1163	6688	1930
1164	6696	1925
1165	6701	1919
1166	6708	1914
1167	6713	1908
1168	6718	1902
1169	6724	1896
1170	6731	1891
1171	6736	1885
1172	6742	1879
1173	6747	1873
1174	6751	1867
1175	6757	1861
1176	6762	1855
1177	6767	1849
1178	6773	1844
1179	6779	1838
1180	6784	1832
1181	6790	1827
1182	6796	1821
1183	6801	1815
1184	6807	1809
1185	6812	1803
1186	6820	1798
1187	6826	1792
1188	6831	1786
1189	6837	1781
1190	6843	1775
1191	6848	1769
1192	6854	1763
1193	6859	1757
1194	6864	1751
1195	6870	1746
1196	6875	1740
1197	6881	1734
1198	6887	1729
1199	6892	1723
1200	6898	1717
1201	6904	1711
1202	6910	1705
1203	6916	1700
1204	6922	1694
1205	6927	1688
1206	6933	1683
1207	6939	1677
1208	6944	1671
1209	6967	1669
1210	6971	1663
1211	6976	1657
1212	6982	1652
1213	6987	1646
1214	6992	1640
1215	6999	1634
1216	7004	1628
1217	7010	1623
1218	7016	1617
1219	7021	1611
1220	7026	1605
1221	7033	1600
1222	7039	1594
1223	7045	1588
1224	7051	1582
1225	7056	1577
1226	7062	1571
1227	7067	1565
1228	7072	1559
1229	7079	1553
1230	7084	1548
1231	7089	1542
1232	7095	1536
1233	7101	1530
1234	7105	1524
1235	7112	1519
1236	7118	1513
1237	7125	1507
1238	7131	1502
1239	7137	1496
1240	7144	1491
1241	7150	1485
1242	7155	1479
1243	7161	1473
1244	7167	1467
1245	7172	1462
1246	7178	1456
1247	7183	1450
1248	7188	1444
1249	7194	1438
1250	7200	1433
1251	7205	1427
1252	7211	1421
1253	7216	1415
1254	7221	1409
1255	7227	1404
1256	7233	1398
1257	7240	1392
1258	7246	1387
1259	7251	1381
1260	7257	1375
1261	7263	1369
1262	7268	1363
1263	7274	1358
1264	7279	1352
1265	7284	1346
1266	7290	1340
1267	7296	1334
1268	7301	1329
1269	7306	1323
1270	7312	1317
1271	7318	1311
1272	7324	1306
1273	7329	1300
1274	7335	1294
1275	7342	1288
1276	7347	1283
1277	7354	1277
1278	7360	1271
1279	7366	1266
1280	7373	1260
1281	7378	1254
1282	7385	1249
1283	7391	1243
1284	7397	1237
1285	7404	1232
1286	7409	1226
1287	7415	1220
1288	7421	1214
1289	7426	1208
1290	7432	1203
1291	7438	1197
1292	7444	1191
1293	7450	1186
1294	7456	1180
1295	7460	1174
1296	7468	1168
1297	7473	1163
1298	7478	1157
1299	7484	1151
1300	7489	1145
1301	7494	1139
1302	7500	1134
1303	7505	1128
1304	7511	1122
1305	7517	1116
1306	7522	1110
1307	7527	1104
1308	7533	1099
1309	7539	1093
1310	7545	1087
1311	7550	1081
1312	7555	1076
1313	7561	1070
1314	7566	1064
1315	7571	1058
1316	7576	1052
1317	7582	1047
1318	7587	1041
1319	7592	1035
1320	7598	1029
1321	7603	1023
1322	7608	1017
1323	7614	1012
1324	7619	1006
1325	7624	1000
1326	7631	994
1327	7637	989
1328	7642	983
1329	7648	977
1330	7653	971
1331	7659	966
1332	7665	960
1333	7670	954
1334	7677	948
1335	7682	943
1336	7687	937
1337	7693	931
1338	7699	925
1339	7704	919
1340	7710	914
1341	7715	908
1342	7720	902
1343	7726	896
1344	7733	891
1345	7738	885
1346	7744	879
1347	7749	873
1348	7755	868
1349	7761	862
1350	7766	856
1351	7773	850
1352	7778	845
1353	7783	839
1354	7790	833
1355	7795	827
1356	7800	822
1357	7807	816
1358	7812	810
1359	7817	804
1360	7823	799
1361	7829	793
1362	7834	787
1363	7839	781
1364	7845	775
1365	7852	770
1366	7858	764
1367	7863	758
1368	7869	753
1369	7875	747
1370	7880	741
1371	7887	735
1372	7892	730
1373	7897	724
1374	7904	718
1375	7909	712
1376	7915	707
1377	7922	701
1378	7927	695
1379	7934	689
1380	7940	684
1381	7945	678
1382	7951	672
1383	7957	666
1384	7963	661
1385	7969	655
1386	7974	649
1387	7980	643
1388	7986	638
1389	7991	632
1390	7997	626
1391	8003	620
1392	8008	615
1393	8015	609
1394	8021	603
1395	8026	597
1396	8032	592
1397	8037	586
1398	8042	580
1399	8048	574
1400	8054	569
1401	8059	563
1402	8065	557
1403	8070	551
1404	8076	546
1405	8083	540
1406	8089	534
1407	8097	529
1408	8102	523
1409	8107	517
1410	8114	511
1411	8119	506
1412	8125	500
1413	8131	494
1414	8136	488
1415	8143	483
1416	8148	477
1417	8153	471
1418	8159	465
1419	8165	460
1420	8171	454
1421	8178	448
1422	8184	442
1423	8189	437
1424	8195	431
1425	8200	425
1426	8205	419
1427	8211	414
1428	8216	408
1429	8222	402
1430	8228	396
1431	8234	391
1432	8241	385
1433	8247	379
1434	8251	373
1435	8258	368
1436	8264	362
1437	8271	356
1438	8277	350
1439	8283	345
1440	8290	339
1441	8296	333
1442	8305	328
1443	8312	322
1444	8320	316
1445	8327	310
1446	8334	305
1447	8341	299
1448	8346	293
1449	8353	288
1450	8359	282
1451	8364	276
1452	8371	270
1453	8377	265
1454	8383	259
1455	8389	253
1456	8394	247
1457	8400	241
1458	8406	236
1459	8412	230
1460	8418	224
1461	8423	218
1462	8428	213
1463	8435	207
1464	8440	201
1465	8444	195
1466	8469	190
1467	8473	184
1468	8478	178
1469	8484	173
1470	8489	167
1471	8494	161
1472	8500	155
1473	8505	150
1474	8510	144
1475	8517	138
1476	8522	132
1477	8527	126
1478	8533	121
1479	8538	115
1480	8543	109
1481	8549	103
1482	8555	98
1483	8560	92
1484	8566	86
1485	8571	80
1486	8576	74
