Tm_(C),m_(kcal/mol/M),Cm_(M),∆G_H2O_(kcal/mol)
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,5.9,
,,3.5,
,,2.4,
,,3.4,
,,3.5,
,,2.6,
,,3.3,
,,5.9,
,,3.4,
,,3.5,
,,5.1,
,,3.5,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,2.7,
,4.91,,
,4.91,,
,4.91,,
,4.91,,
,8.9,,7.9
,5.2,,15.0
,7.7,,5.5
,3.6,,8.7
,1.51,,4.1
,5.6,2.7,15.7
,5.6,3.0,17.3
,5.6,2.7,15.6
,5.6,2.8,16.4
,5.6,2.8,16.0
,3.4,1.8,6.7
,3.7,1.8,6.6
,3.8,2.0,7.5
,3.8,1.9,7.2
,3.2,1.7,5.6
,3.5,1.8,6.3
,2.7,2.9,7.6
,3.1,2.8,8.9
,3.4,2.9,9.6
,3.0,3.0,9.0
,3.2,2.8,8.9
,3.1,3.1,9.6
,3.6,2.2,7.7
,3.7,2.2,7.7
,3.9,1.6,6.1
,3.7,1.5,5.3
,3.7,1.3,5.0
,3.9,1.6,6.5
,3.1,2.8,8.9
,2.8,2.9,8.1
,3.2,2.9,9.3
,3.0,2.9,8.7
,3.1,2.5,7.8
,2.9,2.6,7.5
,4.0,2.5,10.2
,,2.3,2.6
,,2.1,4.3
,-2.84,0.55,1.55
,-2.29,0.61,1.39
,-1.85,0.69,1.27
,-2.39,0.83,1.99
,-1.88,0.86,1.61
,-2.23,0.8,1.79
,-1.76,0.75,1.31
,-2.33,0.57,1.33
,-1.99,0.73,1.46
,-2.21,0.79,1.74
,-1.58,1.15,1.82
,-1.5,0.92,1.39
,-2.1,0.86,1.8
,-1.92,0.82,1.57
,2.76,1.61,4.44
,2.29,2.5,5.72
,4.06,1.14,4.63
,5.4,,4.4
,3.2,,16.0
,5.0,,3.1
,3.8,,17.5
,4.0,,2.3
,5.0,,17.3
,4.6,2.3,10.5
,2.9,1.7,4.9
,3.5,2.3,8.2
,-2.48,2.56,
,-2.18,3.37,
,,4.17,
,,3.66,
,,2.57,
,,3.27,
,,4.51,
,,3.88,
,,2.97,
,,3.14,
,,3.29,
,,3.32,
,,4.5,
,,4.33,
,,2.84,
,,2.81,
,,3.49,
,,2.76,
,,3.32,
,,2.98,
,,3.32,
,,4.69,
,,2.93,
,,2.53,
,,4.66,
,,2.48,
,,3.87,
,,2.96,
,,3.1,
,,3.26,
,,2.64,
,,3.31,
,,3.44,
,,3.73,
,,2.69,
,2.2,4.2,9.3
,1.9,3.0,5.7
,2.4,3.1,7.3
,2.4,3.1,7.3
,2.2,2.8,6.2
,2.2,2.6,5.5
,2.2,3.1,6.8
,2.4,2.8,6.6
,2.3,2.6,6.0
,3.1,2.9,9.1
,2.3,3.5,8.1
,2.3,3.1,7.2
,2.3,3.0,6.9
,1.9,1.6,2.9
,2.4,2.1,5.1
,3.1,2.6,8.1
,2.3,2.4,5.4
,2.1,1.9,4.0
,2.2,1.6,3.6
,2.0,1.2,2.5
,1.58,1.89,2.99
,1.38,1.5,2.07
,,,0.86
,,,2.65
,,,0.31
,,,1.73
,,,1.48
,,,2.11
,,,2.35
,,,0.93
,,,1.63
,,,6.44
,,,6.13
,1.23,,3.27
,,,3.2
,5.98,,28.35
,1.33,5.01,
,1.47,4.86,
,0.92,3.49,
,1.73,4.69,
,1.99,4.55,
,1.41,4.51,
,1.5,4.85,
,1.54,4.91,
,1.44,4.96,
,1.81,5.21,
,1.49,4.93,
,1.61,4.9,
,1.11,4.82,
,1.49,5.12,
,1.53,4.56,
,1.79,4.46,
,1.85,4.72,
,1.29,4.64,
,1.73,4.75,
,1.71,4.96,
,1.12,4.78,
,1.27,4.6,
,1.6,4.81,
,1.39,4.92,
,1.7,5.14,
,1.89,5.11,
,1.48,5.05,
,1.43,4.85,
,1.42,4.9,
,2.11,4.96,
,1.52,5.05,
,1.79,5.04,
,1.94,4.66,
,1.06,4.83,
,1.49,4.55,
,1.42,4.7,
,1.3,5.02,
,1.14,4.11,
,1.74,4.27,
,1.56,4.32,
,1.89,4.32,
,1.45,4.42,
,,,
,4.1,2.95,12.1
,3.0,2.73,8.1
,,3.5,
,,2.6,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,-8.413,2.72,39.484
,-9.847,3.31,49.211
,-9.154,3.06,44.431
,-8.628,2.96,42.376
,-8.891,3.01,43.403
,-7.959,3.29,42.902
,-8.246,2.99,42.639
,-5.497,3.4,35.349
,-6.19,2.67,33.102
,-8.294,3.48,48.112
,-10.684,3.8,58.556
,-8.748,3.24,44.957
,-7.17,4.2,48.375
,-8.317,4.67,61.879
,-9.512,3.48,50.096
,,2.38,27.49
,,2.3,25.57
,2.71,3.11,8.42
,3.05,1.82,5.54
,2.86,3.17,9.07
,2.93,3.07,9.0
,1.99,4.61,9.17
,1.56,4.73,7.39
,1.75,4.99,8.69
,1.82,4.44,8.11
,1.7,,6.1
,1.8,,6.3
,2.0,,6.9
,2.2,,8.4
,2.3,,8.9
,5.8,,17.9
,6.4,,19.8
,6.6,,20.2
,3.2,,2.0
,1.4,,6.9
,2.7,,1.6
,2.0,,10.4
,3.1,,1.4
,1.1,,4.2
,5.0,,0.6
,1.1,,4.7
,,,
,,,
,10.8,0.87,9.3
,,3.69,10.4
,,3.01,8.48
,,3.24,9.13
,,2.98,8.4
,3.21,3.4,10.9
,,3.4,
,,2.98,
,,3.08,
,,3.08,
,2.9,3.62,10.1
,2.7,2.7,7.7
,2.7,3.5,10.0
,2.8,3.95,11.0
,2.71,2.71,7.34
,2.71,2.88,7.8
,2.71,3.26,8.83
,2.71,3.27,8.86
,2.71,3.69,9.99
,2.71,3.43,9.3
,2.71,3.63,9.84
,2.71,3.35,9.08
,2.71,3.61,9.78
,2.71,3.3,8.94
,2.59,2.71,7.02
,3.21,2.02,6.49
,2.8,3.03,8.48
,3.24,1.11,3.59
,2.59,3.26,8.44
,3.21,2.48,7.97
,2.8,3.42,9.58
,3.24,1.64,5.31
,2.59,3.69,9.56
,3.21,2.84,9.13
,2.8,3.72,10.42
,3.24,2.1,6.8
,2.59,3.63,9.4
,3.21,2.97,9.55
,2.8,3.91,10.95
,3.24,2.42,7.84
,2.59,3.61,9.35
,3.21,3.06,9.83
,2.8,3.97,11.12
,3.24,2.7,8.74
,2.44,2.87,6.43
,2.59,2.71,7.02
,3.19,1.76,5.61
,2.91,1.18,3.43
,2.59,3.26,8.44
,3.19,2.2,7.02
,2.91,1.66,4.83
,2.59,3.69,9.56
,3.19,2.57,8.2
,2.91,1.91,5.56
,2.59,3.63,9.4
,3.19,2.55,8.13
,2.91,2.01,5.85
,2.59,3.61,9.35
,3.19,2.52,8.04
,2.91,2.03,5.91
,1.86,,6.17
,0.5,,1.61
,,,7.17
,2.7,3.62,9.8
,2.7,3.25,8.8
,2.8,2.58,7.2
,2.8,2.77,7.8
,2.7,2.59,7.0
,2.8,2.88,8.1
,,,
,2.55,3.5,9.0
,0.33,4.45,1.46
,1.01,4.04,4.68
,1.58,2.05,3.11
,2.48,2.25,5.6
,5.88,0.61,
,1.05,3.77,3.96
,4.23,2.52,20.0
,1.4,3.0,4.5
,1.3,3.2,3.9
,1.22,2.92,3.54
,4.7,3.13,14.7
,5.6,,59.9
,1.8,,30.7
,4.6,3.24,14.9
,,,6.52
,11.6,1.03,12.0
,,,
,1.47,6.9,9.5
,1.2,5.4,6.5
,1.34,6.6,8.9
,1.02,6.3,6.4
,2.64,4.62,12.21
,1.37,,5.18
,2.18,,5.69
,1.4,,5.54
,3.2,,4.98
,5.16,,5.62
,3.17,,5.23
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,4.91,,
,4.91,,
,8.9,,8.5
,5.2,,15.9
,7.7,,6.9
,3.6,,10.2
,1.9,,6.6
,5.8,3.0,17.5
,5.8,3.0,17.8
,5.8,3.0,17.9
,5.8,3.1,18.5
,5.8,3.2,18.9
,2.28,2.95,6.08
,1.92,,7.05
,1.92,,5.88
,1.92,,5.09
,1.92,,5.84
,1.41,4.94,6.96
,1.48,4.96,7.39
,1.36,4.86,6.57
,1.41,4.51,6.31
,1.53,2.57,3.94
,1.31,4.87,6.41
,5.4,,60.1
,2.3,,30.9
,,,2.82
,,,4.35
,,,6.84
,,,4.6
,,,7.92
,,,6.23
,,,8.56
,,,9.04
,,,5.48
,,,5.02
,,,7.48
,,,7.45
,,,7.42
,,,8.57
,,,6.95
,,,6.13
,,,4.01
,,,5.9
,,,4.5
,,,4.62
,,,4.53
,,,6.5
,,,6.09
,,,3.08
,,,7.73
,,,4.2
,,,4.99
,,,4.59
,,,3.63
,,,4.34
,,,4.93
,,,4.4
,,,4.83
,,,4.08
,,,5.56
,,,3.65
,,,8.14
,,,7.71
,,,7.21
,,,5.94
,,,7.04
,,,5.3
,,,3.88
,,,4.72
,,,3.94
,,,4.45
,,,4.69
,,,4.24
,,,4.38
,,,7.75
,,,7.33
,,,7.5
,,,7.22
,,,7.28
,,,3.61
,,,4.27
,,,3.73
,,,4.12
,,,4.17
,,,5.23
,,,7.79
,,,7.46
,,,7.44
,,,4.48
,,,3.9
,,,5.38
,,,3.41
,,,5.19
,,,3.7
,,,8.67
,,,4.7
,,,7.47
,,,7.49
,,,3.83
,,,3.95
,,,7.27
,2.3,,6.7
,2.32,,7.5
,,,6.54
,,,6.44
,,,7.0
,,,6.75
,,,6.72
,,,6.41
,,,6.91
,,,6.57
,,,6.87
,2.4,,7.7
,1.6,,7.4
,1.6,,7.2
,1.6,,7.1
,1.6,,5.2
,2.0,,4.1
,1.15,1.1,1.22
,2.7,4.0,10.88
,0.91,1.5,1.39
,2.49,4.1,10.25
,4.94,1.5,7.27
,-2.75,3.33,
,-2.24,4.04,
,,7.1,
,,8.3,
,,4.9,
,,,13.5
,,,15.5
,,2.0,4.2
,,2.0,6.1
,,,
,,,
,,,9.63
,,,12.35
,,,6.6
,1.14,4.32,5.0
,1.47,6.9,9.5
,1.58,7.0,11.0
,1.73,7.0,12.2
,1.46,6.9,10.0
,1.53,6.6,10.1
,1.65,6.9,11.4
,,,4.1
,,,4.4
,,,4.2
,,,5.5
,,,5.9
,,,7.0
,,,13.3
,,,3.6
,,,14.3
,,,3.7
,,,4.0
,1.29,2.45,3.7
,2.65,2.56,6.59
,1.06,4.34,
,0.95,6.24,1.9
,5.78,0.72,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,4.7,3.36,15.8
,3.4,0.6,2.2
,3.6,2.84,10.1
,0.91,2.6,2.39
,1.79,3.6,6.48
,1.79,3.7,6.6
,1.2,2.8,3.3
,1.2,2.8,3.3
,,,11.21
,,,4.3
,,,4.95
,,,4.61
,1.03,3.92,4.04
,,1.54,
,,0.9,-2.0
,,0.86,-2.2
,4.63,2.56,20.1
,3.13,1.26,11.0
,,3.93,
,,4.63,
,,,
,,,
,,1.66,8.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,1.4,3.2,4.8
,1.4,3.3,4.5
,,,
,1.18,5.45,6.51
,,,
,,,
,1.27,3.93,4.7
,,,6.76
,1.27,3.93,4.76
,1.19,2.95,3.52
,,,
,,,
,,,
,,,
,1.77,3.9,6.93
,,,11.64
,,4.02,5.09
,,5.32,5.52
,,2.25,2.87
,,1.95,2.46
,,2.57,3.25
,,3.8,4.8
,,3.0,3.8
,,4.36,4.85
,,1.29,1.63
,,2.72,3.44
,,2.02,2.56
,,4.0,5.07
,,2.73,3.47
,,2.57,3.25
,,2.66,3.37
,,2.55,3.23
,,2.54,3.2
,,3.66,4.64
,,0.88,1.12
,,2.84,3.59
,,2.76,3.49
,,2.91,3.68
,,2.9,3.68
,,2.83,3.59
,,2.95,3.32
,,2.7,3.42
,,0.61,0.76
,1.46,3.04,4.45
,1.49,3.1,4.61
,1.43,4.05,5.78
,0.84,3.3,2.8
,1.2,3.4,4.1
,1.2,3.6,4.4
,,,
,2.45,1.44,3.48
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,1.31,,5.63
,2.11,,5.87
,1.37,,6.04
,2.99,,5.68
,5.08,,6.22
,3.11,,5.87
,0.88,6.5,
,1.0,5.1,
,6.3,,60.0
,2.1,,30.2
,1.8,,5.2
,1.2,,5.1
,1.6,,5.2
,1.3,,5.1
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,1.2,4.14,4.95
,1.2,4.14,5.01
,4.6,0.9,4.1
,6.2,1.0,6.4
,4.6,1.4,6.4
,2.7,1.1,2.9
,2.6,1.2,3.0
,,,5.6
,,,6.8
,,,15.0
,,,18.0
,1.3,3.0,3.8
,0.9,1.3,1.1
,1.2,,4.51
,1.41,,16.3
,5.56,,14.7
,2.22,,17.7
,3.7,0.76,2.8
,,7.1,3.8
,,6.8,3.6
,4.5,3.27,14.7
,3.9,0.82,3.2
,,,14.4
,,,8.8
,,,6.3
,,,13.4
,,0.65,
,,1.04,
,,1.06,
,,0.62,
,,0.66,
,,1.2,
,,0.72,
,,1.3,
,,1.07,
,,1.1,
,,0.74,
,,1.0,
,,0.97,
,,0.98,
,,0.79,
,,1.15,
,1.35,0.84,1.13
,2.32,4.04,9.37
,2.18,3.01,6.56
,2.03,2.21,4.5
,1.28,0.89,1.14
,2.24,4.1,9.2
,2.11,2.94,6.2
,2.19,2.16,4.73
,0.66,6.5,4.3
,,9.4,6.2
,1.15,5.92,7.07
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,1.17,3.9,4.16
,2.0,2.54,6.0
,5.0,1.04,5.0
,,,4.9
,,,8.5
,,,8.0
,,,8.4
,,,9.4
,,,6.8
,,,6.3
,,,7.4
,,,13.3
,,,12.0
,,,8.8
,,,5.2
,,,2.8
,,,3.9
,,,5.9
,,,6.1
,,,4.8
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,1.98,2.7,5.72
,1.01,7.3,7.66
,1.35,2.7,4.65
,1.15,2.8,3.39
,1.03,2.8,3.39
,1.02,6.9,7.42
,1.18,6.4,7.47
,,,10.4
,,,10.52
,,,10.8
,,,10.3
,,,9.89
,,,9.01
,,,8.41
,,,8.6
,,,16.1
,,,16.6
,,,12.8
,,,15.2
,,,3.6
,,,4.6
,,,5.9
,,,6.4
,,,
,,,15.01
,,,15.01
,2.9,,6.9
,2.4,,7.2
,4.4,,13.8
,2.2,,4.5
,0.77,,2.4
,0.75,,1.42
,2.1,1.1,2.3
,2.4,1.2,2.7
,,,2.5
,12.19,0.99,12.06
,12.51,0.97,12.1
,11.81,0.98,11.56
,15.7,0.95,14.92
,13.04,1.0,13.03
,14.51,0.96,14.02
,12.19,0.99,12.06
,12.51,0.97,
,11.81,0.98,11.56
,15.7,0.97,14.92
,13.04,1.0,13.03
,14.51,0.96,14.02
,1.63,4.42,
,1.57,4.29,
,1.5,4.23,
,1.39,4.56,
,1.56,2.52,
,1.75,2.81,
,1.57,4.2,
,1.52,5.16,
,1.78,4.46,
,1.53,5.25,
,1.55,4.46,
,1.61,4.21,
,1.62,4.98,
,1.6,4.27,
,1.63,4.93,
,1.4,5.0,
,1.46,4.97,
,2.0,3.7,7.6
,2.1,3.6,7.6
,,,5.93
,,,3.8
,,,5.66
,,,5.64
,,,3.64
,,,4.72
,,,5.8
,,,5.7
,,,5.55
,,,5.17
,,,3.21
,,,6.65
,,,3.62
,,,5.39
,,,5.38
,,,5.09
,,,5.37
,,,4.66
,,,4.3
,,,6.12
,,,3.83
,,,2.01
,,,4.48
,,,5.5
,,,5.26
,,,6.64
,,,6.99
,,,7.58
,,,8.8
,,,9.18
,,,9.79
,,,28.5
,,,3.4
,,,1.26
,2.2,2.6,5.7
,2.6,3.93,10.1
,3.1,2.44,7.4
,2.7,3.01,8.1
,2.0,2.31,4.6
,2.1,2.85,6.1
,1.76,4.05,7.16
,1.76,3.69,6.52
,1.71,3.73,6.59
,1.65,3.51,6.2
,1.95,2.96,5.23
,,,
,,,
,,,
,,,
,,,2.39
,,,3.11
,,,6.0
,,,
,2.0,2.3,4.6
,1.2,4.5,5.6
,1.7,4.2,6.9
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,5.5,,7.6
,4.9,,6.6
,5.7,,7.2
,4.0,,4.5
,4.5,,5.0
,6.07,,8.03
,4.84,,5.08
,3.51,,2.8
,3.9,,3.9
,4.4,,4.2
,3.17,,2.5
,1.1,4.2,4.66
,1.2,4.1,4.66
,1.2,4.0,4.76
,1.2,2.0,2.34
,0.96,2.7,2.68
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,2.4,,4.5
,4.3,,20.3
,0.6,,2.8
,2.4,,2.5
,4.2,,20.0
,0.5,,2.4
,2.8,,3.2
,3.8,,19.4
,0.8,,2.9
,2.4,,2.8
,4.0,,19.2
,0.6,,2.9
,2.4,,4.5
,3.9,,19.6
,0.4,,3.7
,2.52,3.07,7.7
,,,5.98
,,,2.87
,,,2.87
,,,2.87
,,,5.26
,1.8,,
,1.36,,2.12
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,11.4
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,1.4,50.9
,,1.7,53.3
,,1.9,47.0
,,1.9,49.8
,,2.1,54.5
,,2.3,50.8
,,2.2,64.2
,,2.5,67.5
,,2.9,65.0
,,2.4,65.7
,,2.7,58.2
,,2.9,61.1
,,2.5,73.5
,,2.7,70.8
,,2.9,70.0
,,2.5,65.7
,,2.8,65.9
,,3.0,66.5
,2.7,2.34,6.32
,5.86,0.62,3.63
,,,6.5
,1.87,3.59,6.72
,1.21,4.25,5.14
,0.89,3.9,3.47
,1.21,4.17,5.04
,1.95,3.42,6.69
,1.55,4.04,6.29
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,0.1,
,,0.38,
,,0.85,
,,1.35,
,,0.15,
,,0.39,
,,0.92,
,,1.12,
,,1.68,
,,1.48,
,,1.65,
,,1.51,
,,0.72,
,,1.98,
,,1.92,
,,1.67,
,,1.77,
,,1.21,
,2.3,5.6,12.9
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,3.71,1.06,3.93
,3.43,2.75,9.44
,4.21,2.97,12.5
,3.64,3.3,12.1
,3.82,2.84,10.88
,2.8,2.79,7.76
,3.15,2.73,7.58
,4.07,2.88,11.73
,4.07,3.03,12.3
,3.34,3.65,12.18
,4.17,3.34,13.64
,3.6,3.5,12.9
,4.0,3.91,15.6
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,2.5,2.9,7.2
,3.2,2.5,7.9
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,3.4,2.6,9.0
,3.3,3.7,
,3.4,1.6,
,3.5,1.7,
,3.1,2.4,
,3.2,2.5,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,2.59,,14.28
,2.59,,14.41
,2.59,,14.94
,2.59,,15.26
,2.59,,15.6
56.8,,,
58.4,,,
59.3,,,
64.3,,,
66.0,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,0.72,4.3,3.2
,0.74,3.8,2.8
,0.77,4.8,3.7
,2.3,1.5,3.2
,2.3,1.3,2.9
,2.3,1.7,3.8
,1.77,2.68,1.2
,1.7,2.95,1.6
,1.6,2.23,0.36
,1.63,2.47,0.76
,1.82,2.84,1.53
,1.74,2.69,1.2
,1.6,2.69,1.1
,1.89,2.62,1.2
,1.67,2.75,1.27
,1.65,2.79,1.29
,1.74,2.72,1.24
,7.0,2.77,1.29
,1.84,2.2,0.36
,1.82,2.68,1.22
,1.79,2.5,0.88
,1.74,2.21,0.36
,1.74,2.7,1.22
,2.08,2.02,0.02
,1.67,2.29,0.48
,2.08,2.32,0.67
,0.84,5.3,4.4
,2.93,1.99,12.4
,2.55,1.56,10.6
,3.43,2.41,14.8
,0.84,5.8,4.9
,3.01,2.86,8.6
,3.04,2.9,8.8
,3.18,2.81,8.9
,2.89,2.89,8.4
,3.02,2.83,8.5
,2.71,2.75,8.36
,3.13,2.57,7.8
,2.83,3.12,9.49
,2.59,3.34,10.15
,2.85,3.16,9.6
,2.9,3.37,10.28
,2.82,3.16,9.6
,2.82,3.35,10.18
,3.42,2.53,7.7
,2.97,2.27,6.91
,3.14,2.15,6.55
,3.41,1.48,4.51
,3.11,2.39,7.27
,2.93,1.91,5.8
,3.05,2.72,8.27
,2.87,2.06,6.25
,3.08,1.34,4.08
,,2.6,4.6
,,1.7,3.4
,,0.6,1.2
,,0.4,1.2
,,,
,,,
,,,
,,,
,1.26,,5.94
,2.06,,5.94
,1.3,,6.36
,2.94,,6.25
,4.9,,6.38
,2.99,,6.4
,,,
,,,
,,,
,4.3,0.68,2.9
,4.2,0.78,3.3
,2.5,2.2,5.4
,5.8,0.9,5.2
,6.0,0.97,6.1
,4.5,0.45,2.0
,2.6,2.24,5.7
,2.5,2.15,5.4
,2.2,2.27,5.0
,,1.33,4.24
,,1.42,4.86
,,1.64,5.05
,1.58,2.97,4.7
,1.32,2.95,3.9
,1.36,2.94,4.6
,1.0,6.01,6.1
,1.01,6.01,6.1
,1.2,5.8,6.95
,0.65,5.3,3.44
,1.89,2.7,5.2
,1.5,2.6,4.0
,0.64,5.8,3.7
,0.69,5.6,4.3
,1.1,1.4,1.6
,1.9,0.8,1.6
,1.5,1.8,2.8
,,,4.13
,,,4.3
,,,3.0
,,,2.5
,2.0,,12.8
,3.9,3.4,13.4
,3.8,3.5,13.0
,4.4,3.5,15.2
,2.5,2.7,8.4
,3.3,2.9,9.5
,2.5,2.7,6.9
,3.2,2.3,7.6
,3.0,2.0,5.9
,3.4,2.0,6.9
,0.9,4.1,3.7
,0.7,3.5,2.3
,0.6,2.1,1.4
,1.1,3.5,4.0
,1.5,4.4,6.4
,1.4,3.6,5.0
,8.13,3.2,59.03
,6.93,2.9,59.75
,5.98,3.1,58.8
,5.5,3.1,57.36
,3.35,4.9,56.41
,2.63,4.5,52.58
,5.74,5.1,69.31
,5.74,4.7,67.64
,5.74,4.7,67.16
,,3.6,
,,3.0,
,,3.1,
,,5.6,
,,3.4,
,,5.5,
,3.32,3.2,17.3
,3.49,2.7,16.11
,3.3,2.4,14.53
,2.58,2.2,12.05
,2.75,2.3,13.19
,1.94,1.8,9.78
,2.84,2.1,12.21
,1.67,1.3,8.39
,1.05,4.6,
,1.58,3.7,
,2.29,3.2,
,1.36,3.6,
,1.43,4.2,
,1.08,2.3,
,1.77,3.3,
,0.81,1.7,
,4.9,,7.6
,4.4,,12.2
,1.9,,12.8
,1.0,0.14,3.4
,1.0,-0.08,3.2
,4.4,1.98,8.8
,3.8,2.55,9.8
,4.5,2.71,12.1
,3.9,1.31,5.1
,4.1,1.68,6.9
,4.0,1.98,8.0
,5.55,1.1,6.12
,1.15,3.82,4.41
,1.15,3.82,4.41
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,3.98,6.2
,,4.02,6.3
,,3.27,5.2
,,2.74,4.2
,,3.7,
,,4.0,
,,3.1,
,,3.0,
,,,4.6
,,,4.2
,,,2.3
,,,4.9
,,,2.2
,,,4.1
,,,3.6
,,,4.6
,,,2.4
,,,4.6
,2.4,4.12,10.2
,2.6,2.57,6.9
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,2.15,2.62,5.63
,2.01,3.75,7.54
,1.99,3.33,6.63
,1.99,3.43,6.8
,2.07,2.0,4.14
,1.76,1.46,2.57
,1.98,2.01,3.98
,2.15,2.98,6.41
,1.82,4.1,7.47
,1.93,1.79,3.45
,1.83,1.9,3.46
,1.24,4.53,5.62
,1.21,5.3,6.39
,1.2,3.92,4.72
,1.36,4.58,6.29
,1.21,5.3,
,1.27,3.56,
,1.17,6.24,
,1.26,4.65,
,1.29,4.88,
,1.32,4.17,
,1.28,4.29,
,1.22,5.85,
,1.38,4.11,
,1.28,4.56,
,1.31,5.31,
,1.3,3.59,
,1.44,2.92,
,2.06,4.57,9.42
,2.11,4.11,8.68
,2.06,3.87,7.95
,2.18,2.89,6.29
,2.16,2.47,5.34
,2.08,2.29,4.77
,4.51,1.97,8.88
,4.64,1.76,8.19
,4.87,1.26,6.16
,1.17,5.2,6.09
,1.25,3.54,4.43
,1.22,3.6,4.39
,1.17,3.51,4.12
,1.64,3.75,6.13
,1.66,3.45,5.71
,1.49,7.16,10.66
,1.45,7.59,10.93
,,,3.52
,,,3.97
,,5.3,
,,2.4,
,,2.1,
,,3.4,
,,4.6,
,,4.8,
,,4.0,
,,5.49,5.52
,,5.34,5.38
,,5.61,5.64
,,7.13,7.17
,,4.89,4.92
,,6.44,6.48
,,4.49,4.52
,,3.73,3.75
,,5.94,5.98
,,4.96,5.0
,,2.16,
,,4.39,
,,4.47,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,2.25,1.59,3.58
,2.25,2.18,4.91
,2.25,3.28,7.38
,2.25,2.87,6.46
,2.25,2.84,6.39
,2.25,2.71,6.1
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,0.81,,4.45
,0.79,,4.01
